"x","f(x)"
1,0.84
2,0.53
3,0.1
4,0.8
5,0.98
6,0.68
7,0.42
8,0.64
9,0.6
10,0.06
11,0.05
12,0.66
13,0.92
14,0.64
15,0.52
16,0.09
17,0.88
18,0.18
19,0.1
20,0.03
21,0.87
22,0.6
23,0.48
24,0.49
25,0.45
26,0.05
27,0.65
28,0.51
29,0.09
30,0.33
31,0.46
32,0.62
33,0.31
34,0.43
35,0.97
36,0.15
37,0.6
38,0.32
39,0.57
40,0.39
41,0.63
42,0.9
43,0.23
44,0.93
45,0.27
46,0.41
47,0.95
48,0.05
49,0.86
50,0.97
51,0.08
52,0.41
53,0.6
54,0.92
55,0.16
56,0.08
57,0.55
58,0.11
59,0.57
60,0.5
61,0.35
62,0.1
63,0.49
64,0.42
65,0.63
66,0.78
67,0.82
68,0.67
69,0.73
70,0.32
71,0.35
72,0.84
73,0.1
74,0.18
75,0.14
76,0.74
77,0.54
78,0.47
79,0.12
80,0.35
81,0.69
82,0.02
83,0.34
84,0.4
85,0.04
86,0.29
87,0.69
88,0.49
89,0.98
90,0.33
91,0.67
92,0.46
93,0.05
94,0.73
95,0.9
96,0.74
97,0.3
98,0.16
99,0.93
100,0.01
101,0.35
102,0.75
103,0.86
104,0.92
105,0.11
106,0.14
107,0.67
108,0.68
109,0.76
110,0.05
111,0.36
112,0.9
113,0.87
114,0.73
115,0.25
116,0.58
117,0.49
118,0.18
119,0.08
120,0.96
121,0.09
122,0.89
123,0.42
124,0.46
125,0.83
126,0.25
127,0.12
128,0.34
129,0.97
130,0.66
131,0.48
132,0.94
133,0.52
134,0.75
135,0.38
136,0.86
137,0.75
138,0.39
139,0.02
140,0.48
141,0.09
142,0.13
143,0.18
144,0.56
145,0.45
146,0.79
147,0.27
148,0.98
149,0.18
150,0.9
151,0.45
152,0.76
153,0.13
154,0.23
155,0.22
156,0.18
157,0.86
158,0.24
159,0.6
160,0.77
161,0.83
162,0.19
163,0.15
164,0.92
165,0.55
166,0.97
167,0.98
168,0.22
169,0.26
170,0.68
171,0.34
172,0.64
173,0.66
174,0.81
175,0.04
176,0.26
177,0.47
178,0.49
179,0.31
180,0.68
181,0.54
182,0.46
183,0.38
184,0.34
185,0.58
186,0.29
187,0.81
188,0.65
189,0.15
190,0.3
191,0.79
192,0.22
193,0.38
194,0.49
195,0.92
196,0.52
197,0.57
198,0.72
199,0.65
200,0.77
201,0.23
202,0.43
203,0.71
204,0.42
205,0.18
206,0.82
207,0.9
208,0.18
209,0.01
210,0.4
211,0.5
212,0.91
213,0.91
214,0.13
215,0.11
216,0.03
217,0.17
218,0.08
219,0.91
220,0.7
221,0.25
222,0.77
223,0.79
224,0.16
225,0.24
226,0.09
227,0.99
228,0.53
229,0.65
230,0.59
231,0.25
232,0.59
233,0.27
234,0.28
235,0.74
236,0.75
237,0.93
238,0.11
239,0.98
240,0.65
241,0.02
242,0.56
243,0.47
244,0.6
245,0.25
246,0.03
247,0.26
248,0.47
249,0.67
250,0.65
251,0.34
252,0.09
253,0.64
254,0.75
255,0.36
256,0.99
257,0.03
258,0.35
259,0.01
260,0.1
261,0.99
262,0.36
263,0.4
264,0.46
265,0.8
266,0.7
267,0.91
268,0.17
269,0.21
270,0.68
271,0.3
272,0.94
273,0.31
274,0.44
275,0.43
276,0.57
277,0.79
278,0.07
279,0.87
280,0.61
281,0.33
282,0.67
283,0.34
284,0.25
285,0.35
286,0.99
287,0.84
288,0.09
289,0.53
290,0.23
291,0.2
292,0.21
293,0.4
294,0.36
295,0.09
296,0.52
297,0.79
298,0.09
299,0.41
300,0.38
301,0.71
302,0.71
303,0.1
304,0.73
305,0.78
306,0.48
307,0.32
308,0.79
309,0.63
310,0.46
311,0.2
312,0.32
313,0.4
314,0.34
315,0.67
316,0.04
317,0.23
318,0.73
319,0.1
320,0.85
321,0.68
322,0.76
323,0.82
324,0.79
325,0.99
326,0.69
327,0.47
328,0.17
329,0.78
330,0.52
331,0.47
332,0.32
333,0.09
334,0.6
335,0.83
336,0.18
337,0.27
338,0.14
339,0.69
340,0.63
341,0.68
342,0.08
343,0.59
344,0.59
345,0.5
346,0.12
347,0.17
348,1
349,0.5
350,0.51
351,0.47
352,0.28
353,0.16
354,0.24
355,0.62
356,0.13
357,0.27
358,0.74
359,0.58
360,0.63
361,0.49
362,0.44
363,0.7
364,0.51
365,0.35
366,0.76
367,0.12
368,0.02
369,0.56
370,0.46
371,0.85
372,0.65
373,0.76
374,0.6
375,0.53
376,0.85
377,0.44
378,0.59
379,0.12
380,0.57
381,0.74
382,0.18
383,0.21
384,0.68
385,0.58
386,0.89
387,0.06
388,0.42
389,0.64
390,0.21
391,0.23
392,0.15
393,0.44
394,0.13
395,0.49
396,0.82
397,0.24
398,0.84
399,0.63
400,0.65
401,0.65
402,0.53
403,0.13
404,0.93
405,0.03
406,0.85
407,0.57
408,0.97
409,0.02
410,0.94
411,0.14
412,0.96
413,0.35
414,0.78
415,0.3
416,0.81
417,0.46
418,0.41
419,0.42
420,0.99
421,0.89
422,0.64
423,0.28
424,0.06
425,0.23
426,0.86
427,0.04
428,0.22
429,0.95
430,0.67
431,0.03
432,0.72
433,0.99
434,0.76
435,0.99
436,0.84
437,0.44
438,0.42
439,0.98
440,0.37
441,0.29
442,0.95
443,0.57
444,0.26
445,0.13
446,0.58
447,0.21
448,0.17
449,0.35
450,0.56
451,0.49
452,0.23
453,0.29
454,0.92
455,0.7
456,0.38
457,0.05
458,0.81
459,0.47
460,0.27
461,0.79
462,0.92
463,0.91
464,0.84
465,0.44
466,0.56
467,0.96
468,0.36
469,0.54
470,0.42
471,0.13
472,0.24
473,0.05
474,0.88
475,0.62
476,0.01
477,0.07
478,0.33
479,0.4
480,0.24
481,0.72
482,0.99
483,0.27
484,0.33
485,0.23
486,0.65
487,0.55
488,0.77
489,0.54
490,0.04
491,0.06
492,0.89
493,0.62
494,0.74
495,0.69
496,0.79
497,0.56
498,0.71
499,0.49
500,0.11
