"x","y"
1,0.49
2,0.48
3,0.4
4,0.01
5,0.75
6,0.96
7,0.95
8,0.19
9,0.72
10,0.3
11,0.08
12,0.32
13,0.91
14,0.43
15,0.21
16,0.29
17,0.76
18,0.23
19,0.65
20,0.16
21,0.99
22,0.83
23,0.24
24,0.89
25,0.05
26,0.53
27,0.09
28,0.23
29,0.1
30,0.22
31,0.39
32,0.3
33,0.18
34,0.97
35,0.19
36,0.97
37,0.31
38,0.5
39,0.71
40,0.62
41,0.18
42,0.09
43,0.73
44,0.26
45,0.16
46,0.88
47,0.13
48,0.29
49,0.35
50,0.29
51,0.31
52,0.78
53,0.5
54,0.04
55,0.94
56,0.51
57,0.38
58,0.49
59,0.69
60,0.57
61,0.99
62,0.14
63,0.64
64,0.71
65,0.12
66,0.19
67,0.01
68,0.64
69,0.65
70,0.15
71,0.32
72,0.44
73,0.85
74,0.34
75,0.64
76,0.85
77,0.06
78,0.05
79,0.62
80,0.23
81,0.61
82,0.31
83,0.59
84,0.66
85,0.5
86,0.37
87,0.86
88,0.72
89,0.47
90,0.51
91,0.3
92,0.47
93,0.02
94,0.73
95,0.12
96,0.47
97,0.4
98,0.18
99,0.37
100,0.3
101,0.33
102,0.24
103,0.44
104,0.55
105,0.82
106,0.07
107,0.93
108,0.93
109,0.38
110,0.3
111,0.86
112,0
113,0.96
114,0.71
115,0.08
116,0.66
117,0.75
118,0.78
119,0.99
120,0.92
121,0.37
122,0.51
123,0.46
124,0.03
125,0.12
126,0.04
127,0.06
128,0.91
129,0.54
130,0.22
131,0.26
132,0.58
133,0.05
134,0.95
135,0.11
136,0.98
137,0.79
138,0.87
139,0.2
140,0.95
141,0.16
142,0.21
143,0.14
144,0.99
145,0.91
146,0.42
147,0.89
148,0.8
149,0.86
150,0.27
151,0.61
152,0.76
153,0.77
154,0.9
155,0.86
156,0.12
157,0.82
158,0.89
159,0.15
160,0.45
161,0.95
162,0.16
163,0.46
164,0.53
165,0.62
166,0.8
167,0.42
168,0.85
169,0.94
170,0.1
171,0.76
172,0.29
173,0.42
174,0.66
175,0.1
176,0.87
177,0.75
178,0.94
179,0.27
180,0.25
181,0.06
182,0.47
183,0.82
184,0.74
185,0.76
186,0.98
187,0.93
188,0.29
189,0.42
190,0.65
191,0.69
192,0.82
193,0.3
194,0.86
195,0.27
196,0.91
197,0.83
198,0.61
199,0.95
200,0.14
201,0.14
202,0.66
203,0.16
204,0.19
205,0.78
206,0.41
207,0.06
208,0.46
209,1
210,0.92
211,0.63
212,0.35
213,1
214,0.08
215,0.97
216,0.03
217,0.32
218,0.54
219,0.66
220,0.02
221,0.43
222,0.29
223,0.07
224,0.04
225,0.17
226,0.39
227,0.82
228,0.59
229,0.18
230,0.36
231,0.94
232,0.76
233,0.19
234,0.42
235,0.51
236,0.07
237,0.22
238,0.87
239,0.74
240,0.67
241,0.84
242,0.48
243,0.38
244,0.22
245,0.98
246,0.21
247,0.36
248,0.79
249,0.7
250,0.59
251,0.12
252,0.79
253,0.9
254,0.45
255,0.18
256,0.97
257,0.71
258,0.62
259,0.31
260,0.5
261,0.47
262,0.95
263,0.27
264,0.16
265,0.56
266,0.91
267,0.26
268,0.05
269,0.33
270,0.49
271,0.35
272,0.19
273,0.69
274,0.14
275,0.95
276,0.18
277,0.4
278,0.01
279,0.57
280,0.46
281,0.22
282,0.16
283,0.9
284,0.94
285,0.01
286,0.28
287,0.64
288,0.55
289,0.79
290,0.1
291,0.06
292,0.97
293,0.79
294,0.23
295,0.95
296,0.14
297,0.58
298,0.66
299,0.35
300,0.38
301,0.32
302,0.66
303,0.29
304,0.37
305,0.94
306,0.59
307,0.25
308,0.64
309,0.91
310,0.77
311,0.43
312,0.4
313,0.48
314,0.25
315,0.67
316,0.25
317,0.92
318,0.26
319,0.37
320,0.53
321,0.03
322,0.14
323,0.84
324,0.77
325,0.29
326,0.47
327,0.19
328,0.5
329,0.82
330,0.3
331,0.67
332,0.96
333,1
334,0.05
335,0.41
336,0.86
337,0.99
338,0.64
339,0.06
340,0.55
341,0.83
342,0.02
343,0.68
344,0.27
345,0.83
346,0.98
347,0.92
348,0.55
349,0.89
350,0.55
351,0.34
352,0.93
353,0.99
354,0.22
355,0.43
356,0.68
357,0.17
358,0.17
359,0.3
360,0.74
361,0.58
362,0.42
363,0.91
364,0.35
365,0.11
366,0.63
367,0.86
368,0.04
369,0.27
370,0.65
371,0.36
372,0.27
373,0.87
374,0.68
375,0.52
376,0.93
377,0.46
378,0.62
379,0.43
380,0.86
381,0.83
382,0.87
383,0.82
384,0.17
385,0.37
386,0.4
387,0.7
388,0.95
389,0.36
390,0.53
391,0.51
392,0.5
393,1
394,0.21
395,0.91
396,0.37
397,0.5
398,0.98
399,0.24
400,0.16
401,0.87
402,0.36
403,0.84
404,0.81
405,0.74
406,0.11
407,0.48
408,0.45
409,0.78
410,0.86
411,0.33
412,0.14
413,0.35
414,0.8
415,0.95
416,0.39
417,0.88
418,0.35
419,0.13
420,0.55
421,0.18
422,0.07
423,0.88
424,0.7
425,0.23
426,0.42
427,0.05
428,0.7
429,0.47
430,0.39
431,0.59
432,0.72
433,0.42
434,0.16
435,0.62
436,0.18
437,0.75
438,0.57
439,0.99
440,0.3
441,0.31
442,0.33
443,0.42
444,0.33
445,0.12
446,0.78
447,0.57
448,0.08
449,0.17
450,0.87
451,0.04
452,0.51
453,0.69
454,0.19
455,0.42
456,0.62
457,0.99
458,0.31
459,0.97
460,0.75
461,0.51
462,0.41
463,0.17
464,0.76
465,0.51
466,0.03
467,0.58
468,0.16
469,0.3
470,0.93
471,0.46
472,0.76
473,0.58
474,0.43
475,0.5
476,0.11
477,0.45
478,0.47
479,0.71
480,0.2
481,0.25
482,0.09
483,0.78
484,0.18
485,0.73
486,0.46
487,0.33
488,0.75
489,0.44
490,0.44
491,0.85
492,0.03
493,0.13
494,0.52
495,0.11
496,0.86
497,0.95
498,0.63
499,0.66
500,0.33
